Accounting-Control-Number-Numéro-contrôle-comptable,Journal-Voucher-Type-Code-Code-du-type-de-pièce-de-journal,Fiscal-Year-Année-Fiscale,Journal-Voucher-Identifier-Identificateur-de-la-pièce-de-journal,Accounting-Effective-Date-Date-d'entrée-en-vigueur-comptable,DepartmentNumber-Numéro-de-Ministère,Fiscal-Month-Mois-Fiscal,Journal-Voucher-Item-Identifier-Identificateur-de-l'item-de-la-pièce-de-journal,Financial-Coding-Block-Bloc-de-codage-financier,Subleger-Account-Identifier-Compte-du-grand-livre-auxiliaire,Credit/Debit-Code-Code-Crédit/Débit,Journal-Voucher-Item-Amount-Montant-de-l'item-de-la-pièce-de-journal,Control-Data-Type-Type-de-données-de-contrôle,Accounting-Summary-Transaction-Line-Count-Sommaire-comptable-transaction-compte-ligne,GBS-Control-Number-Numéro-de-contrôle-du-SBG,General-Ledger-Account-Code-Code-du-compte-du-grand-livre-général
202313100021,ADEPT,2023/2024,,2023-05-10,122,02,1,,1224396,DR,148.23,COK,1,202313000125195,
202313100022,AFDEP,2023/2024,,2023-05-10,014,02,1,,0147022,DR,85.42,COL,1,202313000125177,
202313100023,DOMFR,2023/2024,,2023-05-10,122,02,1,,1221887,CR,491.91,COK,1,202313000125192,
202313100024,DOMFR,2023/2024,,2023-05-10,122,02,1,,1224762,CR,18870.96,COK,4,202313000125196,
202313100025,JVEFI,2023/2024,,2023-05-11,005,02,1,,0050050,CR,8594.14,CMC,1,202313100125197,
202313100026,JVEFI,2023/2024,,2023-05-11,041,02,1,,0410900,CR,544.86,CMC,1,202313100125203,
202313100027,JVEFI,2023/2024,,2023-05-11,005,02,1,,0050050,CR,632.11,CMC,1,202313100125197,
202313100028,JVEFI,2023/2024,,2023-05-11,005,02,1,,0050054,DR,5556.27,CMC,2,202313100125198,
202313100029,JVEFI,2023/2024,,2023-05-11,018,02,1,,0180113,CR,822.64,CMC,1,202313100125200,
202313100030,JVEFI,2023/2024,,2023-05-11,018,02,1,,0182182,DR,676671.01,CMC,1,202313100125201,
202313100031,JVEFI,2023/2024,,2023-05-11,142,02,1,,1420000,CR,659.46,CMC,1,202313100125206,
202313100032,JVEFI,2023/2024,,2023-05-11,005,02,1,,0050054,CR,3724.70,CMC,6,202313100125198,
202313100033,JVEFI,2023/2024,,2023-05-11,030,02,1,,0301612,CR,1205.98,CMC,1,202313100125202,
202313100034,JVFID,2023/2024,,2023-05-11,097,02,1,,,DR,6250.28,JMU,1,202313100125205,
202313100035,JVFIR,2023/2024,,2023-05-11,097,02,1,,,DR,49822446.48,JMT,1,202313100125204,
202313100036,JVFIR,2023/2024,,2023-05-11,097,02,1,,,DR,11013019.86,JMT,1,202313100125204,
202313100037,JVFIR,2023/2024,,2023-05-11,097,02,1,,,DR,2223138.27,JMT,1,202313100125204,
202313100038,JVFRD,2023/2024,,2023-05-10,097,02,1,,,DR,244.17,JMV,1,202313000125183,
202313100039,JVIVI,2023/2024,,2023-05-11,006,02,1,,0060000,CR,6206.10,CMD,3,202313100125199,
202313100040,JVIVR,2023/2024,,2023-05-10,006,02,1,,0060000,DR,246.40,CMF,1,202313000125171,
202313200000,EPAYR,2023/2024,,2023-05-11,097,02,1,,,DR,3471354.44,JMR,16,202313100125223,
202313200001,JVBDP,2023/2024,,2023-05-11,097,02,1,,,DR,22675478885.56,JMY,74,202313100125225,
202313200002,JVRDI,2023/2024,,2023-05-11,006,02,1,,0060000,DR,17199919323.14,CMI,34,202313100125209,
202313200003,JVRGI,2023/2024,,2023-05-11,097,02,1,,,DR,1223362755.53,JMG,65,202313100125221,
202313200004,RDBOA,2023/2024,,2023-05-11,097,02,1,,,DR,63718441.90,JND,3,202313100125227,
202313200005,JVLVP,2023/2024,,2023-05-11,097,02,1,,,DR,3855857401.78,JML,2,202313100125222,
202313200006,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147004,DR,1036.79,COK,1,202313100125210,
202313200007,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147010,DR,687.56,COK,1,202313100125211,
202313200008,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147011,DR,7148.82,COK,2,202313100125212,
202313200009,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147025,DR,359.94,COK,2,202313100125213,
202313200010,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147026,DR,1279.57,COK,1,202313100125214,
202313200011,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147027,DR,1125.90,COK,2,202313100125215,
202313200012,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147028,DR,131.73,COK,1,202313100125216,
202313200013,ADEPT,2023/2024,,2023-05-11,014,02,1,,0147031,DR,570.96,COK,1,202313100125217,
202313200014,ADEPT,2023/2024,,2023-05-11,014,02,1,,0148444,DR,168.00,COK,1,202313100125218,
202313200015,ADEPT,2023/2024,,2023-05-11,014,02,1,,0148460,DR,2693.00,COK,2,202313100125219,
202313200016,ADEPT,2023/2024,,2023-05-11,122,02,1,,1220382,DR,985.69,COK,1,202313100125228,
202313200017,ADEPT,2023/2024,,2023-05-11,122,02,1,,1220581,DR,112.48,COK,2,202313100125229,
202313200018,ADEPT,2023/2024,,2023-05-11,122,02,1,,1220683,DR,433.50,COK,1,202313100125230,
202313200019,ADEPT,2023/2024,,2023-05-11,122,02,1,,1220691,DR,277.00,COK,2,202313100125231,
202313200020,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221491,DR,1006.50,COK,4,202313100125232,
202313200021,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221494,DR,459.00,COK,4,202313100125233,
202313200022,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221500,DR,99.38,COK,1,202313100125234,
202313200023,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221585,DR,315.00,COK,2,202313100125235,
202313200024,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221887,DR,4165.99,COK,2,202313100125236,
202313200025,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221911,DR,500.00,COK,1,202313100125237,
202313200026,ADEPT,2023/2024,,2023-05-11,122,02,1,,1221953,DR,2000.00,COK,1,202313100125238,
202313200027,ADEPT,2023/2024,,2023-05-11,122,02,1,,1222509,DR,552.69,COK,1,202313100125239,
202313200028,ADEPT,2023/2024,,2023-05-11,122,02,1,,1223291,DR,527.07,COK,1,202313100125240,
202313200029,ADEPT,2023/2024,,2023-05-11,122,02,1,,1223416,DR,2077.23,COK,1,202313100125241,
202313200030,ADEPT,2023/2024,,2023-05-11,122,02,1,,1224394,DR,396.00,COK,3,202313100125242,
202313200031,ADEPT,2023/2024,,2023-05-11,122,02,1,,1228199,DR,155.02,COK,1,202313100125243,
202313200032,ADEPT,2023/2024,,2023-05-11,122,02,1,,1228891,DR,1015.14,COK,2,202313100125244,
202313200033,DOMFR,2023/2024,,2023-05-11,122,02,1,,1220581,CR,56.91,COK,1,202313100125229,
202313200034,DOMFR,2023/2024,,2023-05-11,122,02,1,,1221494,CR,116.75,COK,1,202313100125233,
202313200035,JVEFI,2023/2024,,2023-05-12,005,02,1,,0050054,CR,721.89,CMC,1,202313200125246,
202313200036,JVEFI,2023/2024,,2023-05-12,035,02,1,,0350000,CR,4044.51,CMC,1,202313200125257,
202313200037,JVEFI,2023/2024,,2023-05-12,005,02,1,,0050050,DR,830.86,CMC,1,202313200125245,
202313200038,JVEFI,2023/2024,,2023-05-12,005,02,1,,0050054,CR,812.14,CMC,1,202313200125246,
202313200039,JVEFI,2023/2024,,2023-05-12,018,02,1,,0180117,CR,5745.64,CMC,2,202313200125249,
202313200040,JVEFI,2023/2024,,2023-05-12,018,02,1,,0180125,DR,711.54,CMC,1,202313200125250,
202313200041,JVEFI,2023/2024,,2023-05-12,018,02,1,,0180159,CR,672.43,CMC,1,202313200125251,
202313200042,JVEFI,2023/2024,,2023-05-12,018,02,1,,0182182,DR,2129.66,CMC,1,202313200125252,
202313200043,JVEFI,2023/2024,,2023-05-12,018,02,1,,0183214,CR,3709.25,CMC,1,202313200125253,
202313200044,JVEFI,2023/2024,,2023-05-12,018,02,1,,0186369,DR,1105.97,CMC,1,202313200125254,
202313200045,JVEFI,2023/2024,,2023-05-12,018,02,1,,0186635,DR,1829.15,CMC,1,202313200125255,
202313200046,JVEFI,2023/2024,,2023-05-12,030,02,1,,0301612,DR,1017.49,CMC,1,202313200125256,
202313200047,JVEFI,2023/2024,,2023-05-12,018,02,1,,0180114,DR,3263.65,CMC,1,202313200125248,
202313200048,JVEFR,2023/2024,,2023-05-11,018,02,1,,0189518,DR,14986.15,CME,1,202313100125220,
202313200049,JVFID,2023/2024,,2023-05-12,097,02,1,,,DR,1391.02,JMU,1,202313200125259,
202313200050,JVFIR,2023/2024,,2023-05-12,097,02,1,,,DR,7455841.48,JMT,1,202313200125258,
202313200051,JVFIR,2023/2024,,2023-05-12,097,02,1,,,DR,5682978.08,JMT,1,202313200125258,
202313200052,JVFIR,2023/2024,,2023-05-12,097,02,1,,,DR,836311.42,JMT,1,202313200125258,
202313200053,JVFRD,2023/2024,,2023-05-11,097,02,1,,,DR,3599.75,JMV,1,202313100125224,
202313200054,JVIVI,2023/2024,,2023-05-12,006,02,1,,0060000,CR,1484.10,CMD,3,202313200125247,
202313200055,JVIVR,2023/2024,,2023-05-11,006,02,1,,0060000,CR,355.81,CMF,1,202313100125208,
202313200056,RGEPA,2023/2024,,2023-05-10,097,02,1,,,DR,1665176503.83,JMZ,1,202313000125207,
202313200057,RGEPA,2023/2024,,2023-05-11,097,02,1,,,DR,882488823.29,JMZ,1,202313100125226,
202313500000,EPAYR,2023/2024,,2023-05-12,097,02,1,,,DR,7186152.99,JMR,17,202313200125282,
202313500001,JVBDP,2023/2024,,2023-05-12,097,02,1,,,DR,6352755523.00,JMY,71,202313200125285,
202313500002,JVBRT,2023/2024,,2023-05-12,006,02,1,,0060000,DR,5130000.00,CMT,1,202313200125262,
202313500003,JVRDI,2023/2024,,2023-05-12,006,02,1,,0060000,DR,243130.20,CMI,19,202313200125261,
202313500004,JVRGI,2023/2024,,2023-05-12,097,02,1,,,DR,590236334.99,JMG,64,202313200125280,
202313500005,RDBOA,2023/2024,,2023-05-12,097,02,1,,,DR,13968829.34,JND,3,202313200125287,
202313500006,JVLVP,2023/2024,,2023-05-12,097,02,1,,,DR,327465390.28,JML,2,202313200125281,
202313500007,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147004,DR,2656.40,COK,3,202313200125263,
202313500008,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147006,DR,1131.43,COK,1,202313200125264,
202313500009,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147007,DR,14652.26,COK,23,202313200125265,
202313500010,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147008,DR,687.56,COK,1,202313200125266,
202313500011,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147009,DR,1666.52,COK,1,202313200125267,
202313500012,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147016,DR,246.48,COK,1,202313200125268,
202313500013,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147022,DR,55.14,COK,1,202313200125269,
202313500014,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147025,DR,3064.09,COK,2,202313200125270,
202313500015,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147031,DR,30.15,COK,3,202313200125272,
202313500016,ADEPT,2023/2024,,2023-05-12,014,02,1,,0147036,DR,936.60,COK,1,202313200125273,
202313500017,ADEPT,2023/2024,,2023-05-12,014,02,1,,0148433,DR,1749.00,COK,3,202313200125274,
202313500018,ADEPT,2023/2024,,2023-05-12,014,02,1,,0148455,DR,1448.00,COK,1,202313200125275,
202313500019,ADEPT,2023/2024,,2023-05-12,014,02,1,,0148460,DR,3013.00,COK,4,202313200125276,
202313500020,ADEPT,2023/2024,,2023-05-12,014,02,1,,0148477,DR,1140.00,COK,1,202313200125277,
202313500021,ADEPT,2023/2024,,2023-05-12,014,02,1,,0148488,DR,582.00,COK,1,202313200125278,
202313500022,ADEPT,2023/2024,,2023-05-12,050,02,1,,0509000,DR,1410.00,COK,1,202313200125279,
202313500023,ADEPT,2023/2024,,2023-05-12,122,02,1,,1220581,DR,223.15,COK,3,202313200125289,
202313500024,ADEPT,2023/2024,,2023-05-12,122,02,1,,1220583,DR,314.84,COK,1,202313200125290,
202313500025,ADEPT,2023/2024,,2023-05-12,122,02,1,,1220683,DR,327.25,COK,1,202313200125291,
202313500026,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221491,DR,977.87,COK,4,202313200125292,
202313500027,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221494,DR,1134.65,COK,11,202313200125293,
202313500028,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221500,DR,456.00,COK,1,202313200125294,
202313500029,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221585,DR,541.97,COK,4,202313200125295,
202313500030,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221587,DR,617.99,COK,2,202313200125296,
202313500031,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221596,DR,98.87,COK,1,202313200125297,
202313500032,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221875,DR,1055.00,COK,1,202313200125298,
202313500033,ADEPT,2023/2024,,2023-05-12,122,02,1,,1221887,DR,699.96,COK,2,202313200125299,
202313500034,ADEPT,2023/2024,,2023-05-12,122,02,1,,1222509,DR,154.00,COK,1,202313200125300,
202313500035,ADEPT,2023/2024,,2023-05-12,122,02,1,,1223709,DR,1390.25,COK,1,202313200125301,
202313500036,ADEPT,2023/2024,,2023-05-12,122,02,1,,1224394,DR,637.25,COK,5,202313200125302,
202313500037,ADEPT,2023/2024,,2023-05-12,122,02,1,,1224826,DR,607.57,COK,1,202313200125303,
202313500038,DOMFR,2023/2024,,2023-05-12,014,02,1,,0147004,CR,395.50,COK,1,202313200125263,
202313500039,DOMFR,2023/2024,,2023-05-12,014,02,1,,0147026,CR,3134.40,COK,2,202313200125271,
202313500040,DOMFR,2023/2024,,2023-05-12,122,02,1,,1220382,CR,1134.70,COK,1,202313200125288,
202313500041,JVEFI,2023/2024,,2023-05-15,119,02,1,,1190001,DR,688.67,CMC,1,202313500125326,
202313500042,JVEFI,2023/2024,,2023-05-15,018,02,1,,0182183,CR,10316.86,CMC,1,202313500125309,
202313500043,JVEFI,2023/2024,,2023-05-15,018,02,1,,0183132,CR,723.11,CMC,1,202313500125312,
